theme,url,img,lines,author
LEADERSHIP,/inspirational-quotes/8377-a-real-leader-uses-every-issue-no-matter-how,https://assets.passiton.com/quotes/quote_artwork/8377/medium/20230224_friday_quote.jpg,"A real leader uses every issue, no matter how serious and sensitive, to ensure that at the end of the debate we should emerge stronger and more united than ever before.",<Author:0x00007fc8aae8a6f0>
LEADERSHIP,/inspirational-quotes/7733-a-leader-is-someone-willing-to-give-their,https://assets.passiton.com/quotes/quote_artwork/7733/medium/20230223_thursday_quote.jpg,A leader is someone willing to give their strength to others so that they may have the strength to stand on their own.,<Author:0x00007fc8aaf0a288>
LEADERSHIP,/inspirational-quotes/4579-i-will-not-follow-where-the-path-may-lead-but,https://assets.passiton.com/quotes/quote_artwork/4579/medium/20230222_wednesday_quote.jpg,"I will not follow where the path may lead, but I will go where there is no path, and I will leave a trail.",<Author:0x00007fc8aaee8a70>
LEADERSHIP,/inspirational-quotes/7789-great-things-can-be-achieved-by-leading-through,https://assets.passiton.com/quotes/quote_artwork/7789/medium/20230221_tuesday_quote.jpg,"Great things can be achieved by leading through wisdom, empathy, and integrity—with no other agenda than humanity.",<Author:0x00007fc8aaec8720>
LEADERSHIP,/inspirational-quotes/8221-if-your-actions-create-a-legacy-that-inspires,https://assets.passiton.com/quotes/quote_artwork/8221/medium/20230220_monday_quote.jpg,"If your actions create a legacy that inspires others to dream more, learn more, do more and become more, then, you are an excellent leader.",<Author:0x00007fc8aaf39f60>
LOVE,/inspirational-quotes/7692-you-yourself-as-much-as-anybody-in-the-entire,https://assets.passiton.com/quotes/quote_artwork/7692/medium/20230217_friday_quote.jpg,"You yourself, as much as anybody in the entire universe deserve your love and affection.",<Author:0x00007fc8aaf21550>
LOVE,/inspirational-quotes/4974-when-we-feel-love-and-kindness-toward-others,https://assets.passiton.com/quotes/quote_artwork/4974/medium/20230216_thursday_quote.jpg,"When we feel love and kindness toward others, it not only makes others feel loved and cared for, but it helps us also to develop inner happiness and peace.",<Author:0x00007fc8ab02def8>
LOVE,/inspirational-quotes/7066-don-t-give-up-trying-what-you-really-want-to,https://assets.passiton.com/quotes/quote_artwork/7066/medium/20230215_wednesday_quote.jpg,"Don’t give up trying what you really want to do. Where there is love and inspiration, I don’t think you can go wrong.",<Author:0x00007fc8ab003c70>
LOVE,/inspirational-quotes/6900-let-us-see-what-love-can-do,https://assets.passiton.com/quotes/quote_artwork/6900/medium/20230214_tuesday_quote.jpg,Let us see what love can do.,<Author:0x00007fc8ab070cd0>
LOVE,/inspirational-quotes/8169-we-can-t-heal-the-world-today-but-we-can-begin,https://assets.passiton.com/quotes/quote_artwork/8169/medium/20230213_monday_quote.jpg,"We can’t heal the world today. But we can begin with a voice of compassion, a heart of love, and an act of kindness.",<Author:0x00007fc8ab05abd8>
LISTENING,/inspirational-quotes/8083-listen-with-curiosity-speak-with-honesty-act,https://assets.passiton.com/quotes/quote_artwork/8083/medium/20220210_friday_quote.jpg,Listen with curiosity. Speak with honesty. Act with integrity.,<Author:0x00007fc8ab048d48>
LISTENING,/inspirational-quotes/7139-the-most-basic-and-powerful-way-to-connect-to,https://assets.passiton.com/quotes/quote_artwork/7139/medium/20220209_thursday_quote.jpg,The most basic and powerful way to connect to another person is to listen. Just listen.,<Author:0x00007fc8ab090b98>
LISTENING,/inspirational-quotes/8376-knowledge-speaks-but-wisdom-listens,https://assets.passiton.com/quotes/quote_artwork/8376/medium/20220208_wednesday_quote.jpg,"Knowledge speaks, but wisdom listens.",<Author:0x00007fc8ab07abe0>
LISTENING,/inspirational-quotes/7883-deep-listening-is-the-kind-of-listening-that,https://assets.passiton.com/quotes/quote_artwork/7883/medium/20220207_tuesday_quote.jpg,Deep listening is the kind of listening that can help relieve the suffering of another person.,<Author:0x00007fc8ab0e6fc0>
LISTENING,/inspirational-quotes/3327-every-person-in-this-life-has-something-to,https://assets.passiton.com/quotes/quote_artwork/3327/medium/20220206_monday_quote.jpg,"Every person in this life has something to teach—and as soon as you accept that, you open yourself to truly listening.",<Author:0x00007fc8ab0b7950>
STEWARDSHIP,/inspirational-quotes/5575-there-are-no-problems-we-cannot-solve-together,https://assets.passiton.com/quotes/quote_artwork/5575/medium/20220203_friday_quote.jpg,"There are no problems we cannot solve together, and very few that we can solve by ourselves.",<Author:0x00007fc8ab1442d8>
STEWARDSHIP,/inspirational-quotes/7275-i-always-wondered-why-somebody-didn-t-do,https://assets.passiton.com/quotes/quote_artwork/7275/medium/20220202_thursday_quote.jpg,I always wondered why somebody didn’t do something about that; then I realized that I am somebody.,<Author:0x00007fc8ab12c638>
STEWARDSHIP,/inspirational-quotes/8375-let-us-develop-respect-for-all-living-things,https://assets.passiton.com/quotes/quote_artwork/8375/medium/20220201_wednesday_quote.jpg,"Let us develop respect for all living things. Let us try to replace violence and intolerance with understanding, compassion and love.",<Author:0x00007fc8ab115348>
STEWARDSHIP,/inspirational-quotes/8374-we-say-things-will-turn-out-but-no-its-what,https://assets.passiton.com/quotes/quote_artwork/8374/medium/20220131_tuesday_quote.jpg,"We say 'things will turn out', but no. It's what we do that actually creates the future.",<Author:0x00007fc8ab166518>
STEWARDSHIP,/inspirational-quotes/8373-when-one-tugs-at-a-single-thing-in-nature-one,https://assets.passiton.com/quotes/quote_artwork/8373/medium/20220130_monday_quote.jpg,"When one tugs at a single thing in nature, one finds it attached to the rest of the world.",<Author:0x00007fc8ab14fe80>
RESILIENCE,/inspirational-quotes/8315-do-not-judge-me-by-my-success-judge-me-by-how,https://assets.passiton.com/quotes/quote_artwork/8315/medium/20230127_friday_quote.jpg,"Do not judge me by my success, judge me by how many times I fell down and got back up again.",<Author:0x00007fc8ab19d068>
RESILIENCE,/inspirational-quotes/8372-i-can-be-changed-by-what-happens-to-me-but-i,https://assets.passiton.com/quotes/quote_artwork/8372/medium/20230126_thursday_quote.jpg,I can be changed by what happens to me. But I refuse to be reduced by it.,<Author:0x00007fc8ab1853a0>
RESILIENCE,/inspirational-quotes/8371-don-t-let-a-bad-day-trick-you-into-thinking-you,https://assets.passiton.com/quotes/quote_artwork/8371/medium/20230125_wednesday_quote.jpg,Don’t let a bad day trick you into thinking you have a bad life.,<Author:0x00007fc8ab1e2118>
RESILIENCE,/inspirational-quotes/8313-like-tiny-seeds-with-potent-power-to-push,https://assets.passiton.com/quotes/quote_artwork/8313/medium/20230124_tuesday_quote.jpg,"Like tiny seeds with potent power to push through tough ground and become mighty trees, we hold innate reserves of unimaginable strength. We are resilient.",<Author:0x00007fc8ab1bd4d0>
RESILIENCE,/inspirational-quotes/6940-hardships-often-prepare-ordinary-people-for-an,https://assets.passiton.com/quotes/quote_artwork/6940/medium/20230123_monday_quote.jpg,Hardships often prepare ordinary people for an extraordinary destiny.,<Author:0x00007fc8ab236010>
EXPLORING,/inspirational-quotes/6600-not-all-those-who-wander-are-lost,https://assets.passiton.com/quotes/quote_artwork/6600/medium/20230120_friday_quote.jpg,Not all those who wander are lost.,<Author:0x00007fc8ab20b900>
EXPLORING,/inspirational-quotes/8370-life-can-only-be-understood-backwards-but-it,https://assets.passiton.com/quotes/quote_artwork/8370/medium/20230119_thursday_quote.jpg,Life can only be understood backwards but it must be lived forwards.,<Author:0x00007fc8ab1f3878>
EXPLORING,/inspirational-quotes/8369-you-have-to-create-your-life-you-have-to-carve,https://assets.passiton.com/quotes/quote_artwork/8369/medium/20230118_wednesday_quote.jpg,"You have to create your life. You have to carve it, like a sculpture.",<Author:0x00007fc8ab2cbdb8>
EXPLORING,/inspirational-quotes/7473-the-purpose-of-life-is-to-live-it-to-taste,https://assets.passiton.com/quotes/quote_artwork/7473/medium/20230117_tuesday_quote.jpg,"The purpose of life is to live it, to taste experience to the utmost, to reach out eagerly and without fear for newer and richer experience.",<Author:0x00007fc8ab2b1b48>
EXPLORING,/inspirational-quotes/8293-if-you-cant-fly-then-run-if-you-cant-run-then,https://assets.passiton.com/quotes/quote_artwork/8293/medium/20230116_monday_quote.jpg,"If you can't fly then run, if you can't run then walk, if you can't walk then crawl, but whatever you do you have to keep moving forward.",<Author:0x00007fc8ab326128>
KINDNESS,/inspirational-quotes/6382-ask-yourself-have-you-been-kind-today-make,https://assets.passiton.com/quotes/quote_artwork/6382/medium/20230113_friday_quote.jpg,Ask yourself: Have you been kind today? Make kindness your modus operandi and change your world. ,<Author:0x00007fc8ab2fd980>
KINDNESS,/inspirational-quotes/6345-one-kind-word-can-warm-three-winter-months,https://assets.passiton.com/quotes/quote_artwork/6345/medium/20230112_thursday_quote.jpg,One kind word can warm three winter months.,<Author:0x00007fc8ab364590>
KINDNESS,/inspirational-quotes/8368-you-can-be-rich-in-spirit-kindness-love-and,https://assets.passiton.com/quotes/quote_artwork/8368/medium/20230111_wednesday_quote.jpg,"You can be rich in spirit, kindness, love and all those things that you can't put a dollar sign on.",<Author:0x00007fc8ab34df70>
